what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1485841166262
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485841167850
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485841185509
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1485841185545
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485841187642
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485841199336
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1485841202447
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485841205183
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485841205231
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1485841207167
opened,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1485841209743
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1485841209892
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1485841209898
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1485841222908
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1485841223699
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1485841228183
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485841312342
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485841487642
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1485841487679
