what,kind,bundleId,bundleVersion,description,time
locale,sysinfo,,,"en_CA",1486407231505
processors,sysinfo,,,"4",1486407231506
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1486407231506
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1486407231506
java.specification.name,sysinfo,,,"Java Platform API Specification",1486407231506
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1486407231506
java.specification.version,sysinfo,,,"1.6",1486407231506
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1486407231506
java.version,sysinfo,,,"1.6.0_23",1486407231506
java.vm.info,sysinfo,,,"mixed mode",1486407231506
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1486407231506
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1486407231506
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1486407231506
java.vm.specification.version,sysinfo,,,"1.0",1486407231506
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1486407231506
java.vm.version,sysinfo,,,"19.0-b09",1486407231506
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1486407233393
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486407245431
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486407246497
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486407247892
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486407310454
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486407339420
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486407339760
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486407341116
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486407341183
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486407342581
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1486407343304
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486407343486
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1486407343955
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1486407344195
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1486407344346
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1486407344349
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.cPerspective",1486407530210
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1486407530212
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1486407530213
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1486407530215
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1486407530216
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1486407530218
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1486407530219
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1486407530220
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1486407530220
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1486407530222
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1486407530224
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1486407530227
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1486407530228
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1486407530230
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1486407530230
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1486407530231
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1486407530232
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1486407530235
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1486407530237
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110928-1504,"org.eclipse.core.filebuffers",1486407530239
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1486407530241
started,bundle,org.eclipse.core.jobs,3.5.101.v20120113-1953,"org.eclipse.core.jobs",1486407530270
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1486407530272
