what,kind,bundleId,bundleVersion,description,time
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1486416701192
opened,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1486416703180
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1486416703223
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486416708860
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486416710934
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486416712595
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486416715016
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486416851689
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486416854060
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486417638858
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1486417642081
started,bundle,org.eclipse.ui.views.properties.tabbed,3.5.200.v20110928-1505,"org.eclipse.ui.views.properties.tabbed",1486417642099
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486417646354
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486417660556
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486417661330
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486417664006
executed,command,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project.commands.quartus",1486417669216
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486417669872
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486417672948
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486417676018
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486417696995
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486417703335
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486417708949
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1486417709923
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1486417714081
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1486417714432
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1486417717546
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1486417724041
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1486417740212
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486417750736
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486417752770
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486417754763
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486417755959
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1486417756234
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486417756438
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1486417757196
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1486417757198
stopped,bundle,com.altera.debug.cdi.gdb.plugin,13.13.0.132,"com.altera.debug.cdi.gdb.plugin",1486417757198
stopped,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1486417758198
stopped,bundle,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui",1486417758200
stopped,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1486417758200
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1486417758200
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1486417758201
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1486417758201
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1486417758203
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1486417758203
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1486417758203
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.100.201202111925,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1486417758206
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.1.201202111925,"org.eclipse.cdt.debug.ui.memory.search",1486417758208
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1486417758208
stopped,bundle,org.eclipse.cdt.dsf.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.ui",1486417758211
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201202111925,"org.eclipse.cdt.gdb.ui",1486417758213
stopped,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1486417758214
stopped,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1486417758214
stopped,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1486417758214
stopped,bundle,org.eclipse.cdt.debug.ui.memory.traditional,1.2.1.201202111925,"org.eclipse.cdt.debug.ui.memory.traditional",1486417758268
stopped,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1486417758268
stopped,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1486417758268
